Filing_ID,Filing_Name,Industry,Regulation,Frequency,Deadline,Lead_Time_Days,Responsible_Department,Penalty_Level,Key_Content
FS-001,Form 10-K,Financial Services,SEC,Annual,60-90 days after fiscal year-end,60,Finance/Investor Relations,High,"Financial statements, MD&A, risk factors"
FS-002,Form 10-Q,Financial Services,SEC,Quarterly,40-90 days after quarter-end,35,Finance/Investor Relations,High,"Unaudited financials, MD&A updates"
FS-003,Form 8-K,Financial Services,SEC,As Needed,4 business days after event,Immediate,Legal/Investor Relations,High,"Material agreements, acquisitions, changes"
FS-004,Form 20-F,Financial Services,SEC,Annual,120 days after fiscal year-end,100,Finance/Investor Relations,High,"Annual report for foreign private issuers"
FS-005,Proxy Statement,Financial Services,SEC,Annual,Before shareholder meeting,90,Investor Relations/Legal,High,"Executive compensation, director nominees"
FS-006,Form 4,Financial Services,SEC,As Needed,2 business days after transaction,Same day,Legal/Compliance,Medium,"Officer/director transaction reports"
FS-007,Call Report,Financial Services,Banking,Quarterly,30 days after quarter-end,25,Finance/Regulatory Affairs,High,"Assets, liabilities, capital, income"
FS-008,Annual Report Part 363,Financial Services,Banking,Annual,120 days after fiscal year-end,100,Finance/Compliance,High,"Audited financials, management discussion"
FS-009,Suspicious Activity Report,Financial Services,Banking,As Needed,30 days after detection,Immediate,Compliance/AML,Critical,"Activity details, parties, suspected violation"
FS-010,Currency Transaction Report,Financial Services,Banking,As Needed,15 days after transaction,Same day,Compliance/Operations,High,"Transaction amount, parties, account info"
FS-011,Annual AML/KYC Certification,Financial Services,Banking,Annual,120 days after fiscal year-end,100,Compliance/Legal,High,"Program overview, testing results"
FS-012,Form ADV,Financial Services,Investment Adviser,Annual,90 days after fiscal year-end,75,Compliance/Legal,High,"Firm information, services, fees, conflicts"
FS-013,Form 13H,Financial Services,Investment Adviser,Quarterly,45 days after quarter-end,35,Compliance/Trading,Medium,"Large trader identification, volume"
FS-014,FINRA Annual Report,Financial Services,Broker-Dealer,Annual,60 days after fiscal year-end,50,Compliance/Finance,High,"Financial info, compliance certifications"
HC-001,Medicare Cost Report,Healthcare,CMS,Annual,5 months after fiscal year-end,120,Finance/Compliance,High,"Costs by department, patient statistics"
HC-002,HIPAA Breach Notification,Healthcare,HIPAA,As Needed,60 days for large breaches,Immediate,Compliance/Privacy,Critical,"Breach description, individuals affected"
HC-003,Annual HIPAA Audit,Healthcare,HIPAA,Continuous,Ongoing,Scheduled,Compliance/IT Security,High,"Privacy controls, security safeguards"
HC-004,State Facility Licensing,Healthcare,State,Annual,30-90 days before expiration,90,Compliance/Operations,Critical,"Facility info, compliance certifications"
HC-005,CMS Open Payments,Healthcare,CMS,Annual,March 31,90,Finance/Compliance,High,"Payment amount, recipient, type"
MF-001,OSHA Form 300A,Manufacturing,OSHA,Annual,February 1 - April 30,30,Safety/HR,Medium,"Injury/illness summary, hours worked"
MF-002,OSHA ITA Submission,Manufacturing,OSHA,Annual,March 2,45,Safety/HR,High,"Injury/illness details, employee info"
MF-003,EPA Biennial Hazardous Waste,Manufacturing,EPA,Biennial,March 1 (even years),45,Environmental/EHS,High,"Waste type, quantity, management method"
MF-004,EPCRA Tier II Report,Manufacturing,EPCRA,Annual,March 1,45,Environmental/EHS,High,"Chemical inventory, storage location"
MF-005,TRI Report,Manufacturing,EPCRA,Annual,July 1,60,Environmental/EHS,High,"Chemical releases, transfers, waste"
MF-006,Annual Air Emissions,Manufacturing,EPA,Annual,March 1 - June 30,60,Environmental/EHS,High,"Emission sources, pollutants, quantities"
MF-007,ISO 9001 Certification,Manufacturing,ISO,Triennial,3 years,90,Quality Assurance,Medium,"Quality system docs, audit results"
TK-001,GDPR Breach Notification,Technology,GDPR,As Needed,72 hours to authority,Immediate,Privacy/Legal,Critical,"Breach description, affected individuals"
TK-002,CCPA Breach Notification,Technology,CCPA,As Needed,Without unreasonable delay,Immediate,Privacy/Legal,High,"Breach description, affected individuals"
TK-003,SOC 2 Type II Audit,Technology,SOC 2,Annual,30-60 days after audit,180,IT Security/Compliance,High,"Security controls, availability, integrity"
TK-004,ISO 27001 Certification,Technology,ISO,Triennial,3 years,90,IT Security/Compliance,High,"Security policies, controls, audit results"
TK-005,Annual Privacy Impact Assessment,Technology,GDPR,Annual,Before processing launch,60,Privacy/Product,Medium,"Data processing description, risks"
EN-001,FERC Form 1,Energy,FERC,Annual,April 18,60,Finance/Regulatory,High,"Financial statements, operational data"
EN-002,Annual Compliance Certification,Energy,EPA,Annual,March 1,60,Environmental/EHS,High,"Permit conditions, compliance status"
EN-003,Environmental Monitoring Report,Energy,EPA,Annual,30-90 days after year-end,90,Environmental/EHS,High,"Monitoring results, compliance status"
RT-001,PCI DSS Assessment,Retail,PCI DSS,Annual,30-60 days after assessment,90,IT Security/Compliance,High,"Security controls, vulnerability assessment"
RT-002,Annual Privacy Policy Update,Retail,FTC,Annual,30-60 days after update,90,Privacy/Legal,Medium,"Data collection, consumer rights, opt-out"
IN-001,Annual Financial Statement,Insurance,State,Annual,March 31,60,Finance/Regulatory,Critical,"Assets, liabilities, capital, income"
IN-002,Quarterly Financial Statement,Insurance,State,Quarterly,May 15 / Aug 15 / Nov 15 / Feb 28,20,Finance/Regulatory,High,"Unaudited financials, key metrics"
IN-003,Annual Actuarial Opinion,Insurance,State,Annual,March 1,60,Finance/Actuarial,Critical,"Reserve adequacy, assumptions, certification"
IN-004,Annual Audit Report,Insurance,State,Annual,June 1,60,Finance/Internal Audit,Critical,"Audited financials, audit opinion"
