Filing_ID,Filing_Name,Jurisdiction,Industry,Regulation,Frequency,Deadline,Lead_Time_Days,Responsible_Department,Penalty_Level,Key_Content
US-FS-001,Form 10-K,USA,Financial Services,SEC,Annual,60-90 days after fiscal year-end,60,Finance/Investor Relations,High,"Financial statements, MD&A, risk factors"
US-FS-002,Form 10-Q,USA,Financial Services,SEC,Quarterly,40-90 days after quarter-end,35,Finance/Investor Relations,High,"Unaudited financials, MD&A updates"
US-FS-003,Form 8-K,USA,Financial Services,SEC,As Needed,4 business days after event,Immediate,Legal/Investor Relations,High,"Material agreements, acquisitions, changes"
US-HC-001,Medicare Cost Report,USA,Healthcare,CMS,Annual,5 months after fiscal year-end,120,Finance/Compliance,High,"Costs by department, patient statistics"
US-HC-002,HIPAA Breach Notification,USA,Healthcare,HIPAA,As Needed,60 days for large breaches,Immediate,Compliance/Privacy,Critical,"Breach description, individuals affected"
US-MF-001,OSHA Form 300A,USA,Manufacturing,OSHA,Annual,February 1 - April 30,30,Safety/HR,Medium,"Injury/illness summary, hours worked"
US-MF-002,EPA Biennial Hazardous Waste,USA,Manufacturing,EPA,Biennial,March 1 (even years),45,Environmental/EHS,High,"Waste type, quantity, management method"
CA-FS-001,Annual Financial Statements,Canada,Financial Services,OSC,Annual,90-120 days after year-end,60,Finance/Investor Relations,High,"Audited financials, MD&A, filed on SEDAR+"
CA-FS-002,Interim Financial Reports,Canada,Financial Services,OSC,Quarterly,45-60 days after quarter-end,30,Finance/Investor Relations,High,"Unaudited financials, MD&A, filed on SEDAR+"
CA-FS-003,Annual Information Form,Canada,Financial Services,OSC,Annual,Same as AFS,60,Legal/Investor Relations,Medium,"Comprehensive overview of the company"
CA-FI-001,Annual Financial Returns,Canada,Financial Institutions,OSFI,Annual,Varies,90,Finance/Regulatory Affairs,High,"Filed with OSFI"
EU-ALL-001,CSRD Reporting,EU,All,CSRD,Annual,Varies (starting 2025),180,Sustainability/Finance,High,"Detailed sustainability and ESG reporting"
EU-ALL-002,ESEF Filing,EU,All,ESMA,Annual,Varies by member state,60,Finance/Investor Relations,Medium,"Annual financial reports in xHTML/iXBRL"
UK-ALL-001,Annual Accounts,UK,All,Companies House,Annual,6-9 months after year-end,90,Finance/Legal,High,"Filed with Companies House"
UK-ALL-002,Confirmation Statement,UK,All,Companies House,Annual,14 days after review period,14,Legal/Corporate Secretary,Medium,"Confirms company details are correct"
AE-ALL-001,Corporate Tax Return,UAE,All,FTA,Annual,9 months after year-end,90,Finance/Tax,High,"Filed with the Federal Tax Authority"
AE-ALL-002,ESR Report,UAE,All,ESR,Annual,12 months after year-end,90,Legal/Compliance,High,"Demonstrates economic substance"
AE-ALL-003,UBO Filing,UAE,All,UBO,Annual,Varies,30,Legal/Corporate Secretary,Medium,"Disclosure of ultimate beneficial owners"
